#,category,chars,approx,naive,source,glm_real,glm_err,glm_pct,glm_naive_err,glm_naive_pct,dsv_real,dsv_err,dsv_pct,dsv_naive_err,dsv_naive_pct,kimi_real,kimi_err,kimi_pct,kimi_naive_err,kimi_naive_pct,mmax_real,mmax_err,mmax_pct,mmax_naive_err,mmax_naive_pct
1,pure_english,4516,1005,904,wikipedia:en:Large_language_model[0],845,160,18.93,59,6.98,833,172,20.65,71,8.52,837,168,20.07,67,8.0,849,156,18.37,55,6.48
2,pure_english,4007,927,802,wikipedia:en:Large_language_model[1],853,74,8.68,-51,-5.98,833,94,11.28,-31,-3.72,834,93,11.15,-32,-3.84,848,79,9.32,-46,-5.42
3,pure_english,4084,934,817,wikipedia:en:Large_language_model[2],855,79,9.24,-38,-4.44,853,81,9.5,-36,-4.22,843,91,10.79,-26,-3.08,885,49,5.54,-68,-7.68
4,pure_english,4674,1070,935,wikipedia:en:Large_language_model[3],966,104,10.77,-31,-3.21,947,123,12.99,-12,-1.27,947,123,12.99,-12,-1.27,985,85,8.63,-50,-5.08
5,pure_english,4461,963,892,wikipedia:en:Large_language_model[4],930,33,3.55,-38,-4.09,923,40,4.33,-31,-3.36,921,42,4.56,-29,-3.15,937,26,2.77,-45,-4.8
6,pure_english,4249,932,850,wikipedia:en:Large_language_model[5],789,143,18.12,61,7.73,782,150,19.18,68,8.7,784,148,18.88,66,8.42,814,118,14.5,36,4.42
7,pure_english,4042,848,808,wikipedia:en:Large_language_model[6],819,29,3.54,-11,-1.34,808,40,4.95,0,0.0,808,40,4.95,0,0.0,831,17,2.05,-23,-2.77
8,pure_english,4092,783,820,wikipedia:en:Large_language_model[7],778,5,0.64,42,5.4,797,-14,-1.76,23,2.89,781,2,0.26,39,4.99,832,-49,-5.89,-12,-1.44
9,pure_english,4571,972,914,wikipedia:en:Large_language_model[8],916,56,6.11,-2,-0.22,891,81,9.09,23,2.58,898,74,8.24,16,1.78,895,77,8.6,19,2.12
10,pure_english,4002,780,802,wikipedia:en:Large_language_model[9],791,-11,-1.39,11,1.39,782,-2,-0.26,20,2.56,781,-1,-0.13,21,2.69,799,-19,-2.38,3,0.38
11,pure_english,4346,975,869,wikipedia:en:Large_language_model[10],900,75,8.33,-31,-3.44,886,89,10.05,-17,-1.92,891,84,9.43,-22,-2.47,915,60,6.56,-46,-5.03
12,pure_english,4581,969,916,wikipedia:en:Large_language_model[11],832,137,16.47,84,10.1,817,152,18.6,99,12.12,831,138,16.61,85,10.23,846,123,14.54,70,8.27
13,pure_english,4209,892,842,wikipedia:en:Large_language_model[12],746,146,19.57,96,12.87,737,155,21.03,105,14.25,748,144,19.25,94,12.57,749,143,19.09,93,12.42
14,pure_english,4538,980,908,wikipedia:en:Large_language_model[13],855,125,14.62,53,6.2,836,144,17.22,72,8.61,852,128,15.02,56,6.57,859,121,14.09,49,5.7
15,pure_english,4243,995,850,wikipedia:en:Large_language_model[14],889,106,11.92,-39,-4.39,871,124,14.24,-21,-2.41,875,120,13.71,-25,-2.86,888,107,12.05,-38,-4.28
16,pure_english,332,150,67,wikipedia:en:Large_language_model[15],113,37,32.74,-46,-40.71,106,44,41.51,-39,-36.79,106,44,41.51,-39,-36.79,111,39,35.14,-44,-39.64
17,pure_english,4192,913,838,wikipedia:en:Attention_(machine_learning)[0],822,91,11.07,16,1.95,821,92,11.21,17,2.07,824,89,10.8,14,1.7,845,68,8.05,-7,-0.83
18,pure_english,4010,785,804,wikipedia:en:Attention_(machine_learning)[1],706,79,11.19,98,13.88,701,84,11.98,103,14.69,694,91,13.11,110,15.85,718,67,9.33,86,11.98
19,pure_english,4003,664,803,wikipedia:en:Attention_(machine_learning)[2],797,-133,-16.69,6,0.75,797,-133,-16.69,6,0.75,769,-105,-13.65,34,4.42,801,-137,-17.1,2,0.25
20,pure_english,4002,707,803,wikipedia:en:Attention_(machine_learning)[3],799,-92,-11.51,4,0.5,794,-87,-10.96,9,1.13,782,-75,-9.59,21,2.69,821,-114,-13.89,-18,-2.19
21,pure_english,4003,691,801,wikipedia:en:Attention_(machine_learning)[4],855,-164,-19.18,-54,-6.32,842,-151,-17.93,-41,-4.87,845,-154,-18.22,-44,-5.21,880,-189,-21.48,-79,-8.98
22,pure_english,4085,629,818,wikipedia:en:Attention_(machine_learning)[5],651,-22,-3.38,167,25.65,673,-44,-6.54,145,21.55,646,-17,-2.63,172,26.63,688,-59,-8.58,130,18.9
23,pure_english,1219,306,244,wikipedia:en:Attention_(machine_learning)[6],288,18,6.25,-44,-15.28,293,13,4.44,-49,-16.72,286,20,6.99,-42,-14.69,299,7,2.34,-55,-18.39
24,pure_english,4107,941,822,wikipedia:en:Generative_pre-trained_transformer[0],854,87,10.19,-32,-3.75,821,120,14.62,1,0.12,837,104,12.43,-15,-1.79,858,83,9.67,-36,-4.2
25,pure_english,4059,917,812,wikipedia:en:Generative_pre-trained_transformer[1],869,48,5.52,-57,-6.56,819,98,11.97,-7,-0.85,836,81,9.69,-24,-2.87,867,50,5.77,-55,-6.34
26,pure_english,4210,941,844,wikipedia:en:Generative_pre-trained_transformer[2],906,35,3.86,-62,-6.84,854,87,10.19,-10,-1.17,874,67,7.67,-30,-3.43,890,51,5.73,-46,-5.17
27,pure_english,1512,335,302,wikipedia:en:Generative_pre-trained_transformer[3],302,33,10.93,0,0.0,291,44,15.12,11,3.78,297,38,12.79,5,1.68,309,26,8.41,-7,-2.27
28,pure_english,4017,850,805,wikipedia:en:Convolutional_neural_network[0],733,117,15.96,72,9.82,723,127,17.57,82,11.34,731,119,16.28,74,10.12,752,98,13.03,53,7.05
29,pure_english,4275,919,858,wikipedia:en:Convolutional_neural_network[1],834,85,10.19,24,2.88,816,103,12.62,42,5.15,831,88,10.59,27,3.25,828,91,10.99,30,3.62
30,pure_english,4292,891,859,wikipedia:en:Convolutional_neural_network[2],842,49,5.82,17,2.02,838,53,6.32,21,2.51,840,51,6.07,19,2.26,869,22,2.53,-10,-1.15
31,pure_english,4192,925,838,wikipedia:en:Convolutional_neural_network[3],840,85,10.12,-2,-0.24,837,88,10.51,1,0.12,837,88,10.51,1,0.12,855,70,8.19,-17,-1.99
32,pure_english,4327,1021,866,wikipedia:en:Convolutional_neural_network[4],919,102,11.1,-53,-5.77,908,113,12.44,-42,-4.63,920,101,10.98,-54,-5.87,934,87,9.31,-68,-7.28
33,pure_english,4212,926,844,wikipedia:en:Convolutional_neural_network[5],829,97,11.7,15,1.81,815,111,13.62,29,3.56,830,96,11.57,14,1.69,830,96,11.57,14,1.69
34,pure_english,4008,803,802,wikipedia:en:Convolutional_neural_network[6],800,3,0.38,2,0.25,797,6,0.75,5,0.63,790,13,1.65,12,1.52,812,-9,-1.11,-10,-1.23
35,pure_english,4497,949,900,wikipedia:en:Convolutional_neural_network[7],885,64,7.23,15,1.69,875,74,8.46,25,2.86,884,65,7.35,16,1.81,888,61,6.87,12,1.35
36,pure_english,4073,822,818,wikipedia:en:Convolutional_neural_network[8],856,-34,-3.97,-38,-4.44,846,-24,-2.84,-28,-3.31,852,-30,-3.52,-34,-3.99,896,-74,-8.26,-78,-8.71
37,pure_english,4040,946,809,wikipedia:en:Convolutional_neural_network[9],896,50,5.58,-87,-9.71,887,59,6.65,-78,-8.79,889,57,6.41,-80,-9.0,917,29,3.16,-108,-11.78
38,pure_english,4001,821,801,wikipedia:en:Convolutional_neural_network[10],786,35,4.45,15,1.91,784,37,4.72,17,2.17,780,41,5.26,21,2.69,800,21,2.62,1,0.12
39,pure_english,4284,913,857,wikipedia:en:Convolutional_neural_network[11],813,100,12.3,44,5.41,797,116,14.55,60,7.53,815,98,12.02,42,5.15,814,99,12.16,43,5.28
40,pure_english,4977,1064,997,wikipedia:en:Convolutional_neural_network[12],969,95,9.8,28,2.89,958,106,11.06,39,4.07,967,97,10.03,30,3.1,973,91,9.35,24,2.47
41,pure_english,4092,902,818,wikipedia:en:Convolutional_neural_network[13],774,128,16.54,44,5.68,761,141,18.53,57,7.49,772,130,16.84,46,5.96,783,119,15.2,35,4.47
42,pure_english,4377,959,875,wikipedia:en:Convolutional_neural_network[14],844,115,13.63,31,3.67,838,121,14.44,37,4.42,839,120,14.3,36,4.29,861,98,11.38,14,1.63
